Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities
ABSLAMC,2020,62,497,1,37,18,481,86,6,1263,494,703,221,193,661,1299,1235,1572,1572
ABSLAMC,2021,59,512,1,37,18,502,77,6,1726,526,735,180,221,696,1687,1202,1985,1985
ABSLAMC,2022,54,563,3,36,144,547,72,5,2121,673,932,239,184,895,2052,1405,2435,2435
ABSLAMC,2023,48,437,2,8,144,419,70,1,2359,136,158,357,223,181,2373,297,2788,2788
ABSLAMC,2024,79,685,2,10,144,655,111,2,3122,208,205,267,254,268,3025,366,3502,3502
ABSLAMC,2025,68,708,1,10,144,678,107,1,3692,228,244,315,320,305,3583,429,4114,4114
ABSLAMC,2026,64,812,2,13,144,766,119,1,3946,187,266,348,310,219,3897,458,4415,4415
ABSLAMC,2023,,,,9,,,,2,,178,192,,,237,,335,,
ABSLAMC,2024,,,,10,,,,1,,242,250,,,335,,424,,
ABSLAMC,2025,,,,11,,,,1,,241,283,,,316,,461,,
ACC,2014,0,1352,1956,568,188,-251,5666,83,1385,1162,1529,3675,4464,1120,8030,11646,12682,12682
ACC,2015,0,1457,2396,663,188,337,5331,65,1314,587,1583,3759,4379,766,8233,11706,12800,12800
ACC,2016,0,1390,261,609,188,889,7568,79,117,658,1458,5448,4581,885,8625,10990,13394,13394
ACC,2017,0,1554,269,644,188,1034,7280,99,95,925,1915,7202,5490,1310,9168,13285,14846,14846
ACC,2018,0,1118,398,603,188,620,7088,88,104,1521,2048,8466,5524,1510,10344,14802,16056,16056
ACC,2019,0,2255,446,606,188,1760,7027,86,116,1378,2413,9547,5592,2053,11356,15658,17136,17136
ACC,2020,102,2219,548,639,188,1471,6694,57,129,1430,2355,10828,5399,1709,12511,13786,18200,18200
ACC,2021,126,2835,1216,601,188,1682,6750,55,150,1863,2998,12923,6604,2506,14121,16152,21039,21039
ACC,2023,,,,235,,,,34,,538,905,,,729,,4914,,
ACC,2024,,,,260,,,,28,,1092,1116,,,1476,,5972,,
ACC,2025,,,,306,,,,26,,404,700,,,460,,6483,,
ACC,2023,,,,200,,,,25,,466,771,,,626,,5201,,
ACC,2024,,,,235,,,,33,,360,679,,,484,,5199,,
ACC,2025,,,,255,,,,30,,375,778,,,563,,6087,,
ACC,2023,153,-1235,1684,177,188,-3216,7512,15,163,236,469,11185,6252,331,13950,4791,20544,20544
ACC,2023,,,,841,,,,77,,885,1925,,,1203,,22210,,
ACC,2024,355,2995,986,237,188,1646,10025,67,811,943,837,11564,6701,883,16142,5409,23386,23386
ACC,2025,430,1711,2061,265,188,-242,10829,14,1509,751,830,11013,6428,882,18367,6115,25413,25413
ACC,2026,429,-1364,2227,279,188,-2393,11256,27,55,238,626,13987,6546,370,20363,7146,27525,27525
ACC,2023,,,,213,,,,29,,388,549,,,519,,4435,,
ACC,2024,,,,242,,,,33,,200,436,,,284,,4634,,
ACC,2025,,,,279,,,,29,,1119,846,,,763,,6005,,
ACE,2023,,,,6,,,,6,,88,103,,,114,,753,,
ACE,2024,,,,7,,,,8,,112,135,,,149,,875,,
ACE,2025,,,,9,,,,5,,116,130,,,152,,855,,
ACE,2023,,,,5,,,,3,,68,82,,,90,,652,,
ACE,2024,,,,7,,,,7,,84,99,,,112,,734,,
ACE,2025,,,,8,,,,8,,98,93,,,128,,652,,
ACE,2015,138,40,7,10,20,26,283,13,14,5,19,305,180,8,272,599,609,609
ACE,2016,154,57,2,11,23,32,315,14,17,9,31,286,183,15,259,637,620,620
ACE,2017,114,76,7,12,23,61,346,16,18,14,39,305,229,19,311,751,677,677
ACE,2018,78,89,5,12,23,59,337,14,35,52,92,439,356,74,359,1087,817,817
ACE,2019,53,72,8,12,23,49,341,12,45,56,98,493,396,84,414,1343,887,887
ACE,2020,82,48,19,13,23,10,412,15,28,52,92,494,429,68,420,1156,954,954
ACE,2021,55,86,13,14,23,70,429,12,31,80,119,582,477,108,501,1227,1055,1055
ACE,2022,31,104,24,15,24,59,452,10,179,105,151,627,497,137,730,1630,1282,1282
ACE,2023,7,274,24,5,24,238,487,3,349,47,73,739,674,68,895,614,1600,1600
ACE,2024,4,433,44,7,24,268,580,11,594,98,130,951,934,133,1206,836,2169,2169
ACE,2025,16,412,29,7,24,206,716,4,918,119,164,1048,1079,161,1591,961,2710,2710
ACE,2026,8,417,48,10,24,331,782,3,1283,111,172,1138,1233,153,1987,1029,3252,3252
ACE,2023,,,,5,,,,4,,74,89,,,97,,673,,
ACE,2024,,,,7,,,,9,,95,109,,,127,,757,,
ACE,2025,,,,9,,,,6,,90,109,,,124,,744,,
ACMESOLAR,2023,,,,85,,,,202,,44,277,,,29,,332,,
ACMESOLAR,2024,,,,70,,,,179,,112,307,,,103,,349,,
ACMESOLAR,2025,,,,120,,,,288,,114,444,,,156,,497,,
ACMESOLAR,2023,,,,77,,,,188,,82,322,,,122,,369,,
ACMESOLAR,2024,,,,56,,,,196,,1,272,,,50,,310,,
ACMESOLAR,2025,,,,108,,,,233,,131,458,,,174,,511,,
ACMESOLAR,2020,10593,922,220,704,104,-1327,9650,1237,0,86,1649,5590,3675,-211,1088,1777,15460,15460
ACMESOLAR,2021,9732,1746,97,622,104,1560,8984,1151,25,15,1553,3383,900,-1,1753,1692,12489,12489
ACMESOLAR,2022,7915,955,1273,546,104,-496,6177,996,25,62,1240,3322,973,102,1804,1488,10797,10797
ACMESOLAR,2023,9014,1263,2147,485,104,495,6631,809,23,-3,1173,3226,1113,-15,1796,1295,12027,12027
ACMESOLAR,2024,8536,1434,2828,61,104,-1368,6758,177,150,532,201,3471,2080,681,2486,295,13207,13207
ACMESOLAR,2025,10976,1543,1362,102,121,-1719,12315,206,275,122,436,4188,2654,166,4390,487,18140,18140
ACMESOLAR,2026,19896,1249,4358,123,121,-4071,15732,337,275,138,479,8176,3583,190,4940,548,28540,28540
ACMESOLAR,2023,,,,86,,,,200,,39,290,,,77,,323,,
ACMESOLAR,2024,,,,60,,,,178,,15,221,,,18,,260,,
ACMESOLAR,2025,,,,117,,,,265,,115,400,,,156,,468,,
ACUTAAS,2023,,,,4,,,,3,,18,27,,,24,,166,,
ACUTAAS,2024,,,,6,,,,1,,45,69,,,63,,275,,
ACUTAAS,2025,,,,10,,,,1,,106,151,,,145,,393,,
ACUTAAS,2023,,,,4,,,,1,,22,34,,,31,,154,,
ACUTAAS,2024,,,,6,,,,4,,15,30,,,20,,177,,
ACUTAAS,2025,,,,8,,,,1,,44,51,,,58,,207,,
ACUTAAS,2017,27,29,11,1,2,10,28,3,1,12,23,68,43,19,37,160,109,109
ACUTAAS,2018,44,8,30,2,2,-16,32,3,3,18,31,91,54,28,56,188,155,155
ACUTAAS,2019,54,15,2,3,10,-7,79,5,2,23,42,131,77,35,72,239,213,213
ACUTAAS,2020,59,27,12,4,10,6,85,6,2,27,42,133,61,35,101,240,232,232
ACUTAAS,2021,137,28,0,4,32,-77,186,6,1,54,80,225,110,72,135,341,413,413
ACUTAAS,2022,1,-12,3,10,36,-46,205,6,2,72,105,450,136,91,486,520,659,659
ACUTAAS,2023,4,66,30,3,36,-31,259,1,2,27,41,477,169,37,558,186,767,767
ACUTAAS,2024,217,125,125,5,37,-190,427,2,0,26,43,543,205,37,637,225,1096,1096
ACUTAAS,2025,13,118,130,7,41,-76,570,1,0,63,85,848,227,83,1269,308,1549,1549
ACUTAAS,2026,36,292,332,10,41,-36,745,1,0,134,184,907,295,184,1613,433,1984,1984
ACUTAAS,2023,,,,4,,,,1,,-17,25,,,-10,,172,,
ACUTAAS,2024,,,,7,,,,0,,38,49,,,50,,247,,
ACUTAAS,2025,,,,8,,,,1,,72,95,,,96,,306,,
ADANIENSOL,2023,,,,458,,,,760,,348,1471,,,515,,4563,,
ADANIENSOL,2024,,,,462,,,,809,,625,1661,,,559,,5830,,
ADANIENSOL,2025,,,,496,,,,913,,574,1995,,,801,,6730,,
ADANIENSOL,2023,,,,419,,,,616,,182,1269,,,343,,3664,,
ADANIENSOL,2024,,,,498,,,,811,,-1191,1651,,,-1053,,5379,,
ADANIENSOL,2025,,,,465,,,,894,,539,1811,,,658,,6819,,
ADANIENSOL,2015,9701,-35,10,37,1090,-228,10573,73,0,-7,101,909,708,-5,-7,131,11492,11492
ADANIENSOL,2016,8585,1544,258,560,1100,810,10060,957,20,368,1927,1407,489,480,1572,2194,11746,11746
ADANIENSOL,2017,8975,2189,1343,569,1100,829,9853,904,105,416,1983,1510,890,532,1847,2876,12811,12811
ADANIENSOL,2018,10428,2198,2353,579,1100,1237,9291,886,0,1143,2826,5621,781,1472,4957,3944,17265,17265
ADANIENSOL,2019,20137,2591,694,882,1100,1393,24412,1391,336,559,2778,7117,4379,840,6943,7305,32558,32558
ADANIENSOL,2020,24246,5437,2212,1174,1100,2675,24924,2238,313,706,4258,12262,6966,1107,7399,11416,39711,39711
ADANIENSOL,2021,27095,3784,5255,1329,1100,-168,26987,2117,442,1290,3950,10550,7219,1620,7819,9926,43234,43234
ADANIENSOL,2022,29902,4097,5060,1427,1100,-94,30272,2365,561,1236,4206,11572,7650,1700,8813,11258,47464,47464
ADANIENSOL,2023,34270,3777,6200,416,1115,-925,32645,630,1370,440,1203,13716,7913,660,10634,3358,53932,53932
ADANIENSOL,2024,37070,6038,3003,468,1115,608,38920,750,766,381,1566,15849,8827,552,11526,4707,58538,58538
ADANIENSOL,2025,39926,9045,5702,462,1201,-334,39555,826,2638,714,2040,26007,11908,974,20867,6375,73902,73902
